2025-12-19 09:06:48.507 [http-nio-8080-exec-10] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/appointments/user/1 | Client IP: 192.168.8.194 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2025-12-19 09:06:48.511 [http-nio-8080-exec-10] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/appointments/user/1 | Status: 200 | Time: 4ms
2025-12-19 09:06:53.822 [http-nio-8080-exec-5] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/learning-materials | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:06:53.835 [http-nio-8080-exec-5] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/learning-materials | Status: 200 | Time: 13ms
2025-12-19 09:08:04.935 [http-nio-8080-exec-6] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: POST | URI: /api/chatbot/message | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:08:04.948 [http-nio-8080-exec-6] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: POST | URI: /api/chatbot/message | Status: 200 | Time: 13ms
2025-12-19 09:08:53.429 [http-nio-8080-exec-8] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/doctors/1 | Client IP: 192.168.8.194 | User-Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36
2025-12-19 09:08:53.438 [http-nio-8080-exec-8] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/doctors/1 | Status: 200 | Time: 9ms
2025-12-19 09:08:54.884 [http-nio-8080-exec-10] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/report-categories | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:08:54.889 [http-nio-8080-exec-10] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/report-categories | Status: 200 | Time: 5ms
2025-12-19 09:08:55.931 [http-nio-8080-exec-1] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/jendo-tests/user/2 | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:08:55.934 [http-nio-8080-exec-1] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/jendo-tests/user/2 | Status: 200 | Time: 3ms
2025-12-19 09:09:02.005 [http-nio-8080-exec-3] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/doctors | Client IP: 192.168.8.194 | User-Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36
2025-12-19 09:09:02.013 [http-nio-8080-exec-3] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/doctors | Status: 200 | Time: 8ms
2025-12-19 09:11:04.514 [http-nio-8080-exec-4] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: POST | URI: /api/doctors | Client IP: 0:0:0:0:0:0:0:1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2025-12-19 09:11:04.520 [http-nio-8080-exec-4] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: POST | URI: /api/doctors | Status: 201 | Time: 6ms
2025-12-19 09:11:15.356 [http-nio-8080-exec-6] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/doctors | Client IP: 192.168.8.194 | User-Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36
2025-12-19 09:11:15.365 [http-nio-8080-exec-6] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/doctors | Status: 200 | Time: 9ms
